metric,value
projects_analyzed,40
unique_tools_used,0
avg_tool_calls_per_project,0.00
avg_input_tokens_per_project,0.00
avg_output_tokens_per_project,0.00
total_elapsed_seconds,27202.00
total_elapsed_formatted,07:33:22.002
avg_elapsed_seconds,680.05
avg_elapsed_formatted,00:11:20.050
max_elapsed_seconds,1794.93
max_elapsed_formatted,00:29:54.927
max_elapsed_project,412559-facebook-pyrefly
total_cost,7.816043
avg_total_cost,0.195401
max_total_cost,0.591799
max_cost_project,389637-dstackai-dstack
timeout_count,5
max_iterations_count,0
success_count,11
success_percentage,27.5
