issue_number,repo_url
414184,https://github.com/filiparag/wikiman
412606,https://github.com/JonahZeng/IIViewer
411420,https://github.com/freelensapp/freelens
411300,https://github.com/gianni-rosato/aviator
411094,https://github.com/mumu-lhl/Ciyue
410358,https://github.com/mondeja/hledger-fmt
409642,https://github.com/open-webui/mcpo
409392,https://github.com/microsoft/edit
407556,https://github.com/FlagOpen/FlagEmbedding
407200,https://github.com/DanWBR/dwsim
403272,
403120,
402676,https://github.com/LeelaChessZero/lc0
401580,https://github.com/klaudiosinani/taskbook
400124,https://github.com/fosrl/pangolin
396028,https://github.com/headlamp-k8s/headlamp
395668,https://github.com/chase/awrit
395410,https://github.com/M2Team/NanaRun
395062,https://github.com/RogueOneEcho/caesura
394742,
394420,https://github.com/avocado-framework/avocado
394114,https://github.com/menloresearch/cortex.llamacpp
393908,https://github.com/area515/Photonic3D
393774,https://github.com/calebstewart/pwncat
393700,https://github.com/lightpanda-io/browser
393426,https://github.com/kushview/element
393322,https://github.com/indico/indico
393042,https://github.com/badicsalex/ar-drivers-rs
392896,https://github.com/zigtools/zls
392826,https://github.com/way-edges/way-edges
392682,https://github.com/dfurtado/dataclass-csv
392680,https://github.com/tensorchord/VectorChord
392614,https://github.com/Shabang-Systems/Condution
392514,https://github.com/SteamDeckHomebrew/decky-loader
391680,https://github.com/nmstate/nmstate
391668,https://github.com/auyer/protonup-rs
391494,https://github.com/ilpincy/argos3
390990,https://github.com/simonw/llm-gpt4all
390884,https://github.com/bencherdev/bencher
390722,https://github.com/oskarsh/Yin-Yang
390510,https://github.com/DevilXD/TwitchDropsMiner
390368,https://github.com/petermost/Sourcetrail
390318,https://codeberg.org/ramin_hal9001/gypsum
390312,https://github.com/LemonBoy/bar
389976,https://github.com/dhruv8sh/plasma6-window-title-applet
389542,https://github.com/RPGillespie6/fastcov
